,name,address,zip_code,distance,lat,lon
0,Benelux,245 Sherbrooke Rue O,H2X 1X7,258,45.509571,-73.571023
1,Les 3 Brasseurs,732 Sainte-Catherine Rue O,H3B 1B9,691,45.502195,-73.570593
2,Le Saint Bock,1749 Saint-Denis Rue,H2X 3K4,887,45.515893,-73.564685
3,La Cage,150 St Catherine Rue W,H2X 3Y2,240,45.507661,-73.564375
4,Bar Pamplemousse,1579 Saint-Laurent Blvd,H2X 2S9,350,45.510929,-73.565738
5,Sainte-Elisabeth,1412 Sainte-Elisabeth Rue,H2X 3C6,641,45.512194,-73.562146
6,Bar le Mal Nécessaire,1106B Saint Laurent Blvd,H2Z 1J5,555,45.508519,-73.561303
7,Foufounes Electriques,87 Sainte-Catherine Rue E,H2X 1K5,511,45.510982,-73.563125
8,McKibbin's Irish Pub,3515 Saint-Laurent Blvd,H2X 2T6,616,45.51343,-73.571243
9,Saint-Houblon,1567 Saint-Denis Rue,H2X 3K3,853,45.514696,-73.562032
10,Nacarat,900 René-Lévesque O,H3B 4A5,826,45.500712,-73.568076
11,Randolph Pub Ludique,2041 Saint-Denis Rue,H2X 3K8,923,45.516495,-73.565819
12,Furco,425 Mayor Rue,H3A 1N9,276,45.505916,-73.569211
13,Le 4e Mur,2021 Saint-Denis Rue,H2X 3K8,915,45.516216,-73.565568
14,Ye Olde Orchard Pub & Grill,20 Prince-Arthur Rue O,H2X 1S3,689,45.513458,-73.572649
15,SuWu,3581 Saint-Laurent Blvd,H2X 2T6,703,45.513976,-73.572326
16,Les 3 Brasseurs,1658 Saint-Denis Rue,H2X 3K6,840,45.51495,-73.563541
17,Arcade MTL,2031 Saint-Denis Rue,H2X 3K8,930,45.516495,-73.565819
18,Pub l'Ile Noire,1649 Saint-Denis Rue,H2X 3K4,865,45.515237,-73.563405
19,Club Pelicano,1076 Rue de Bleury,H2Z 1N2,566,45.504442,-73.563449
20,Poincaré Chinatown,1071 Saint Laurent Blvd,H2Z 1J6,617,45.508538,-73.560335
21,Brasserie Artisanale l'Amère a Boire Inc,2049 Saint-Denis Rue,H2X 3K8,921,45.516435,-73.565962
22,Patrick'S Pub Irlandais,1707 Saint-Denis Rue,H2X 3K4,876,45.515508,-73.564043
23,Suite 701,701 cote de la Place-d'Armes,H2Y 2X6,901,45.505358,-73.557473
24,Sarah B. Bar Absinthe,360 Saint-Antoine Rue O,H2Y 3X4,825,45.502899,-73.561076
25,SHAKER Cuisine & Mixologie,3518 Saint-Laurent Blvd,H2X 2V1,582,45.512978,-73.571132
26,Le Vieux Dublin Pub & Restaurant,636 Cathcart Rue,H3B 1L9,578,45.503031,-73.568586
27,Nyks Bistro Pub,1250 Rue de Bleury,H3B 2W4,259,45.506024,-73.566648
