,name,address,zip_code,distance,lat,lon
0,Flora Hall Brewing,37 Flora St,K2P 1A7,632,45.410763,-75.693422
1,Pour Boy Pub,495 Somerset St W,K1R 5J7,422,45.413846,-75.7004
2,Atomic Rooster,303 Bank St,K2P 1X7,688,45.414938,-75.69574
3,Prohibition Public House,337 Somerset St W,K2P 0J8,798,45.415919,-75.695382
4,Beer Store,515 Somerset St W,K1R 5J9,401,45.413589,-75.701154
5,Union Local 613,315 Somerset St W,K2P 0J8,847,45.416102,-75.695057
6,Clock Tower Brew Pub,575 Bank St,K1S 5L7,803,45.40846,-75.691204
7,The Greek Souvlaki Shack,258 Bank St,K2P 1X4,756,45.416074,-75.697235
8,Spark Beer,702 Somerset St W,K1R 6P6,463,45.410685,-75.707074
9,Blue Nile Ethiopian Restaurant,577 Gladstone Ave,K1R 5P2,88,45.409511,-75.700732
10,Gongfu Bao,365 Bank St,K2P 1Y2,659,45.414061,-75.694895
11,The WORKS Craft Burgers & Beer,580 Bank St,K1S 3T3,805,45.407882,-75.691449
12,The Gilmour,313 Bank St,K2P 1X9,679,45.414664,-75.695476
13,Jabberwocky Bar,315 Somerset St W,K2P 0J8,845,45.416102,-75.695057
14,Jax,479 Bronson Ave,K1R 6J7,330,45.407536,-75.703239
15,Royal Oak Restaurant,318 Bank St,K2P 1Y1,664,45.414481,-75.6958
16,Colonnade Pizza & Restaurant,280 Metcalfe St,K2P 1R7,1009,45.415725,-75.691588
17,Yangtze,700 Somerset St W,K1R 6P6,458,45.410869,-75.706749
18,The Royal Oak Pubs,180 Kent St,K1P 0B6,936,45.417949,-75.701647
19,Pho Thu Do,781 Somerset St W,K1R 6R3,689,45.409935,-75.710259
20,Divino Wine Studio,225 Preston St,K1R 7R1,1002,45.405536,-75.712232
21,Erling's Variety,225 Strathcona Ave,K1S 1X7,879,45.407572,-75.690649
22,Roast N Curries,197 Bank St,K2P 1W7,872,45.41769,-75.69809
23,Cafe Nakheel,575 Gladstone Ave,K1R 5P2,88,45.409244,-75.700275
24,GO Wine Trail,25 Murray St,K1N 9M5,270,45.412132,-75.699149
25,Rough Rider Tap House,93 Florence St,K1R 5N1,333,45.411355,-75.697198
26,Royal Canadian Legion,330 Kent St,K2P 2A6,478,45.413874,-75.698222
27,Gladstone Lounge,750 Gladstone Ave,K1R 6X5,478,45.406828,-75.705361
28,Café sketch,240 Bronson,K1R 1B5,507,45.412877,-75.70628
29,Whalebones,Rue Bank St,K2P 1Y8,630,45.412328,-75.694127
30,recLINK,755 Somerset St W,K1R 6R1,667,45.410551,-75.709049
31,Royal Oak,188 Bank St,K2P 1W8,898,45.417726,-75.698626
32,Arlo,340 Somerset St W,K2P 0J9,769,45.415465,-75.695346
33,T's Pub,323 Somerset St W,K2P 0J8,794,45.416102,-75.695057
34,Chateau des Charmes Wines,407 Laurier Ave W,K1R 7Y7,801,45.417411,-75.702331
35,Mekong Restaurant,637 Somerset St W,K1R 5K3,350,45.412023,-75.704856
36,Occo Kitchen,160 Bay St,K1R 7X8,917,45.417534,-75.706458
37,Knyota Non-Alcoholic Drinks,104 Bank St,K1P 5N4,241,45.411123,-75.698778
38,Ward 14 Consignment Bar,139 Preston St,K1R 7P4,1087,45.407649,-75.713466
39,Baton Rouge,360 Albert Rue,K1R 7X7,974,45.418144,-75.70394
40,Corner Peach,802 Somerset St W,K1R 6R5,741,45.409185,-75.710538
41,J:unique Kitchen,381 Cooper St,K2P 0G8,800,45.416389,-75.696437
