,name,address,zip_code,distance,lat,lon
0,Sin and Redemption,136 McCaul St,M5T 1W2,50,43.654588,-79.391728
1,Town Crier Pub,115 John St,M9N 1J9,759,43.648185,-79.39024
2,Bar Hop Brewco,137 Peter St,M5V 2H3,639,43.649093,-79.39319
3,The Queen and Beaver Public House,35 Elm St,M5G 1H1,770,43.65738,-79.38343
4,The 3 Brewers,275 Yonge St,M5B 1N8,962,43.655472,-79.380321
5,Prenup Pub,191 College St,M5T 1P9,498,43.658801,-79.394784
6,Cold Tea,60 Kensington Ave,M5T 2K1,704,43.654218,-79.400693
7,Soho House,192 Adelaide St W,M5H 0A4,817,43.6488,-79.386412
8,Queen St Warehouse,232 Queen St W,M5V 1Z6,542,43.650216,-79.390097
9,Grey Gardens,199 Augusta Ave,M5T 2L4,744,43.653818,-79.401564
10,Trinity Common,303 Augusta Ave,M5T 2M2,861,43.656656,-79.402671
11,The Embassy Bar,223 Augusta Ave,M5T 2L4,765,43.654307,-79.401782
12,Ronnie's Local 069,69 Nassau St,M5T 1M6,831,43.655023,-79.402738
13,Cameron House,408 Queen St W,M5V 2A7,802,43.648601,-79.397646
14,Bang Sue Bar,11 Charlotte St,M5V 0M6,956,43.646428,-79.39356
15,The Rivoli,334 Queen St W,M5V 2A2,659,43.649247,-79.394944
16,Village Idiot Pub,126 Mc Caul St,M5T 1W2,71,43.654366,-79.391693
17,Grace O'Malley's,14 Duncan St,M5H 3G8,847,43.647685,-79.388618
18,Earl's Kitchen & Bar,150 King St W,M5H 1J9,1028,43.648085,-79.384662
19,Handlebar,159 Augusta Ave,M5T 2L4,749,43.652891,-79.401182
20,Kensington Brewing Co,299 Augusta Ave,M5T 2M2,854,43.656441,-79.402543
21,The Porch,250 Adelaide St W,M5H 1X6,772,43.648338,-79.388909
22,Elephant & Castle,212 King St W,M5H 1K5,931,43.647513,-79.386347
23,Watson's,388A Richmond St W,M5V 3P1,786,43.648169,-79.3951
24,Art Gallery of Ontario,317 Dundas St W,M5T 1G4,97,43.653538,-79.392624
25,Friar & Firkin,160 John St,M5V 2E5,598,43.649574,-79.39121
26,Wide Open,139A Spadina Ave,M5V 2K8,839,43.647685,-79.395583
