,name,address,zip_code,distance,lat,lon
0,Normative Design Inc,91 Oxford St,M5T 1P2,912,43.65574,-79.403694
1,Umbra Concept Store,165 John St,M5T 1X3,493,43.650482,-79.391074
2,TLAC Toronto Printing & Publishing,525 University Ave,M5G 2L3,373,43.656254,-79.388113
3,Artez Interactive Inc,215 Spadina Ave,M5T 2C7,554,43.650745,-79.396726
4,Hot Pop Factory,215 Spadina Ave,M5T 2C7,595,43.650686,-79.396763
5,Konrad Group,197 Spadina Ave,M5T 2C8,630,43.649714,-79.396234
6,Cundari Group,26 Duncan St,M5V 2B9,713,43.648612,-79.389
7,A Nerd's World,164A Spadina Ave,M5T 2C2,735,43.649054,-79.39683
8,Radhikajain.Com,111 Peter St,M5V 2H1,741,43.64792,-79.392349
9,Laboratory Laboratory Laboratory,148 Augusta Ave,M5T 2L5,754,43.652513,-79.400981
10,Stinson Design,401 Richmond St W,M5V 3A8,759,43.647804,-79.394714
11,Loopmedia Inc,401 Richmond St W,M5V 3A8,805,43.647888,-79.395102
12,Orbital Arts,275 Augusta Ave,M5T 2M1,818,43.655841,-79.402307
13,Worldsew Fabrics,511 Queen St W,M5V 2B4,908,43.647991,-79.399091
14,Rich DX Studio,350 King St W,M5V 3X5,917,43.646788,-79.390158
15,Meevo Digital,20 Camden St,M5V 1V1,918,43.647303,-79.396972
16,Guru Animation Studio Ltd,110 Spadina Ave,M5V 2K4,934,43.646874,-79.395922
17,Hello Pop Design,832 Bay St,M5S 1Z6,936,43.661978,-79.386593
18,Colette: Branding agency toronto,832 Bay St,M5S 1Z6,949,43.662096,-79.386519
