,name,address,zip_code,distance,lat,lon
0,Lola Rosa,276 Sainte-Catherine Rue O,H2X 2A1,200,45.506943,-73.566193
1,Café Parvis,433 Mayor Rue,H3A 1N9,276,45.505742,-73.569351
2,Bouillon Bilk,1595 Saint-Laurent Blvd,H2X 2S9,363,45.511038,-73.565936
3,Cadet,1431 Saint-Laurent Blvd,H2X 2S8,370,45.510388,-73.564365
4,Il Focolaio Pizza Resto,1223 rue du Square-Phillips,H3B 3E9,466,45.504007,-73.568085
5,La Finca café & bureau,1067 Rue de Bleury,H2Z 1N1,577,45.504677,-73.563069
6,Lola Rosa Cafe,545 Milton Rue,H2X 1W5,582,45.507314,-73.575891
7,Time Out Market Montréal,705 Sainte-Catherine Rue O,H3B 4G5,653,45.502799,-73.57163
8,Café Nocturne,19 Prince-Arthur Rue O,H2X 1S4,691,45.513737,-73.5729
9,Crew Collective & Café,360 Saint-Jacques Rue,H2Y 1P5,960,45.502313,-73.559169
10,Melk Bar a Café,1206 Stanley Rue,H3B 2S7,1119,45.498417,-73.572022
11,Mandy's,425 Saint Nicolas Rue,H2Y 2P4,1141,45.50232,-73.556021
12,Stash Café,200 Saint-Paul Rue O,H2Y 1Z9,1178,45.502792,-73.555165
13,Maison Boulud,1228 Sherbrooke Rue O,H3G 1H6,1183,45.499998,-73.578077
14,Pub Wolf & Workman,139 Saint-Paul Rue O,H2Y 1Z5,1173,45.503875,-73.554957
15,Olive & Gourmando,351 Saint-Paul Rue O,H2Y 2A7,1214,45.501173,-73.556566
16,Holder Restaurant Bar,407 McGill Rue,H2Y 2G3,1205,45.500416,-73.557462
17,Café Santropol,3990 Saint-Urbain Rue,H2W 1T7,1260,45.515514,-73.580513
18,Le Club Espresso Bar,3801 Saint-Denis Rue,H2W 2M4,1278,45.519481,-73.572648
19,Mandy's,2067 Crescent Rue,H3G 2C1,1330,45.498412,-73.577833
20,Le Majestique,4105 Saint-Laurent Blvd,H2W 1Y7,1389,45.517562,-73.580385
21,L'Express,3927 Saint-Denis Rue,H2W 2M4,1417,45.520186,-73.574269
22,Le Cartet,106 Mc Gill Rue,H2Y 2E5,1404,45.499382,-73.55525
23,Noren のれん,77 Rachel Rue O,H2W 1G2,1481,45.517058,-73.582791
24,Café Myriade,1432 MacKay Rue,H3G 2H7,1538,45.495966,-73.577996
25,Yokato Yokabai,4185 Drolet Rue,H2W 2L5,1654,45.521237,-73.578469
26,Boulangerie les Co'Pains d'Abord,418 Rachel Rue E,H2J 2G7,1706,45.521932,-73.577813
27,La Bête à Pain,195 Young Rue,H3C 2E9,1855,45.493236,-73.558591
28,Grillade Portuguaise ma Poule Mouillée,969 Rachel Rue E,H2J 2J4,1934,45.525165,-73.575301
29,Hof Kelsten,4524 Saint-Laurent Blvd,H2T 1R3,1984,45.520322,-73.587111
30,Trip de Bouffe,277 Ave du Mont-Royal Est,H2T 1P6,2024,45.522768,-73.584187
31,Perles et Paddock,403 des Seigneurs Rue,H3J 1X7,2311,45.487698,-73.568387
32,Leméac,1045 Laurier Ave O,H2V 2L1,2513,45.518296,-73.597219
33,Fairmount Bagel Bakery Inc,74 Fairmount Ave O,H2T 2M2,2664,45.522827,-73.595186
34,Larry's,9 Fairmount Ave E,H2T 1C7,2706,45.524086,-73.594743
35,Il Pagliaccio,365 Laurier Ave O,H2V 2K5,2486,45.519279,-73.596427
36,La Croissanterie Figaro,5200 Hutchison Rue,H2V 4B3,2658,45.51946,-73.598662
37,Milos Restaurant,5357 Ave du Parc,H2V 4G9,2918,45.521691,-73.600673
38,Le Café Bloom,1940 rue du Ctr,H3K 1J2,2920,45.482128,-73.562982
39,Café Olimpico,124 Saint-Viateur Rue O,H2T 2L1,3061,45.52403,-73.600216
