,name,address,zip_code,distance,lat,lon
0,The Whalesbone Oyster House,430 Bank St,K2P 1Y8,629,45.412226,-75.693829
1,North & Navy,226 Nepean St,K2P 0B8,765,45.416745,-75.698984
2,Union Local 613,315 Somerset St W,K2P 0J8,847,45.416102,-75.695057
3,Pho Bo Ga,843 Somerset St W,K1R 6R6,873,45.409113,-75.712373
4,Sansotei Ramen,153 Bank St,K1P 5N7,1004,45.419009,-75.699261
5,El Camino,380 Elgin St,K2P 1N1,1168,45.414675,-75.687872
6,Town,296 Elgin St,K2P 1M3,1174,45.416602,-75.689526
7,Little Victories Coffee Roasters,801 Bank St,K1S 3V7,1299,45.402673,-75.687936
8,Kettlemans Bagel,912 Bank St,K1S 3W6,1602,45.399869,-75.686938
9,Umbrella Bar,1001 Queen Elizabeth Drwy,K1S 5K7,1569,45.396297,-75.705635
10,La Bottega Nicastro Fine Food Shop,64 George St,K1N 5V9,2015,45.426916,-75.691945
11,JOEY Rideau,50 Rideau St,K1N 9J7,2030,45.426457,-75.6906
12,Bistro CoqLicorne,59 Laval Rue,J8X 3H1,2259,45.42744,-75.716407
13,Bite Burger House,108 Murray St,K1N 5M6,2309,45.429835,-75.692953
14,Alirang,134 Nelson St,K1N 7R5,2591,45.430319,-75.684899
15,Shawarma Palace,464 Rideau St,K1N 5Z4,2865,45.43096,-75.680104
16,Supply and Demand,1335 Wellington St W,K1Y 3B6,3085,45.398812,-75.737213
17,Chez Edgar,60 Begin Rue,J9A 1C8,3640,45.420797,-75.745089
18,Bowman's Bar & Grill,1170 Carling Ave,K1Z 7K6,3288,45.38776,-75.729062
19,Chickpeas,500 Terminal Ave,K1G 0Z3,4086,45.414555,-75.648386
20,Five Guys Burgers & Fries,525 Industrial Ave,K1G 0Z1,4318,45.412029,-75.646057
21,Lone Star Texas Grill,780 Baseline Rd,K2C 3V8,4490,45.370789,-75.716714
22,Wild Wing,1430 Prince of Wales Dr,K2C 1N6,4548,45.368659,-75.702849
23,The Piggy Market,400 Winston Ave,K2A 1Y5,4790,45.391226,-75.75655
24,Asia Garden,886 Dynes Rd,K2C 0G8,4449,45.369955,-75.704598
25,Subway,500 Terminal Ave,K1G 0Z3,4161,45.414504,-75.648237
26,Thai Express,525 Industrial Ave,K1G 0Z1,4308,45.412032,-75.64596
27,Mucho Burrito Fresh Mexican Grill,515 Industrial Ave,K1G 0Z1,4273,45.411955,-75.646487
28,Tim Hortons,631 Industrial Ave,K1G 0Z1,4708,45.411315,-75.640964
29,Pizza Cafe Tache,481 Alexandre-Tache Blvd,J9A 1M8,4241,45.420245,-75.751875
