,name,address,zip_code,distance,lat,lon
0,Istanbul Cafe & Espresso Bar,174 Eglinton Ave E,M4P 1A6,1668,43.707949,-79.393031
1,Himalayan Java,2552 Yonge St,M4P 2J2,1754,43.713398,-79.399986
2,Kinton Ramen,90 Eglinton Ave E,M4P 2Y3,1869,43.707584,-79.395735
3,Pai Uptown,2335 Yonge St,M4P 2C8,1948,43.708624,-79.398428
4,Olde Yorke Fish & Chips,96 Laird Dr,M4G 3V3,2033,43.706254,-79.36215
5,The Keg Steakhouse + Bar,2201 Yonge St,M4S 2B2,2111,43.705855,-79.397893
6,Ritz Caribbean Foods,211 Yonge St,M5B 1M4,2232,43.709032,-79.403642
7,Belly Buster Submarines,3447 Yonge St,M4N 2N3,2567,43.733877,-79.404194
8,Tabule Restaurant,2009 Yonge St,M4S 1Z8,2478,43.700923,-79.396965
9,The Abbot on Eglinton,508 Eglinton Ave W,M5N 1A5,3233,43.703712,-79.413464
10,JOEY Don Mills,75 O'Neill Rd,M3C 0H2,3235,43.73392,-79.344628
11,Congee Queen,895 Lawrence Ave E,M3C 3L2,3179,43.735968,-79.347388
12,Chipotle Mexican Grill,1072 Don Mills Rd,M3C 0H8,3358,43.735136,-79.344119
13,Tutto Pronto,1718 Ave Rd,M5M 3Y6,3256,43.728305,-79.418242
14,The Good Son,11 Karl Fraser Rd,M3C 0E7,3290,43.735135,-79.344914
15,Paramount Fine Foods,1090 Don Mills Rd,M3C 3R6,3471,43.73632,-79.344072
16,Aroma Espresso Bar,2040 Ave Rd,M5M 4A6,3774,43.736019,-79.42032
17,Auberge du Pommier,4150 Yonge St,M2P 2C6,3831,43.746923,-79.407918
18,Baretto Caffe,1262 Don Mills Rd,M3B 2W7,3856,43.744624,-79.346559
19,United Bakers Dairy Restaurant,506 Lawrence Ave W,M6A 1A1,4146,43.720224,-79.431229
20,Via Cibo,808 York Mills Rd,M3B 1X8,4237,43.754469,-79.358053
21,What a Bagel,808 York Mills Rd,M3B 1X8,4279,43.754548,-79.357738
22,Hermes Bakery,2885 Bathurst St,M6B 3A4,4267,43.71414,-79.428381
23,Black Camel,4 Crescent Rd,M4W 1S9,4760,43.6771,-79.389423
24,Serano Bakery,830 Pape Ave,M4K 3T5,4807,43.682936,-79.346801
25,Me-Va-Me,860 York Mills Rd,M3B 1Y4,4543,43.755088,-79.351826
26,The Keg Steakhouse + Bar,1977 Leslie St,M3B 2M3,4644,43.758878,-79.360815
27,Darband Restaurant,879 York Mills Rd,M3B 1Y5,4705,43.755027,-79.348771
28,The Captain's Boil York Mills,865 York Mills Rd,M3B 1Y6,4642,43.754241,-79.349536
29,Pizzaiolo Gourmet Pizza,865 York Mills Rd,M3B 1Y6,4594,43.754646,-79.350163
