,name,address,zip_code,distance,lat,lon
0,Ithq,3535 Saint-Denis Rue,H2X 3P1,1080,45.517916,-73.568577
1,BLI Bouchereau Lingua International,70 Notre Dame Rue W,H2Y 1S6,987,45.505099,-73.556254
2,McGill Schulich School of Music,555 Sherbrooke St W,H3A 1E3,442,45.505777,-73.573226
3,Technologia,440 Rene-Levesque Blvd O,H2Z 1V7,475,45.504353,-73.565045
4,Genome Building,740 Docteur Penfield,H3A 0G1,880,45.50696,-73.579318
5,Rfavq,405 de Maisonneuve Est,H2L 4J5,909,45.514987,-73.561702
6,McGill Duff Medical Building,3775 University St,H3A 2B4,933,45.508816,-73.580201
7,Hupo Mandarin,1625 Lincoln Ave,H3H 2T5,1674,45.495907,-73.580899
8,École des métiers de la restauration et du tourisme de Montréal,1822 Blvd de Maisonneuve Ouest,H3H 1J8,1861,45.493869,-73.580543
9,Ilsc,550 Sherbrooke Rue O,H3A 1B9,409,45.505683,-73.572255
10,Arabic Mtl,1245 Saint-Dominique Rue,H2X 2W4,513,45.510089,-73.562321
11,Elam,1080 Cote du Beaver Hall,H2Z 1S8,667,45.502648,-73.565087
12,Propulsion RH,1117 Sainte-Catherine Rue O,H3B 1H9,1012,45.499704,-73.572983
13,École de Conduite Acom,859 Blvd de Maisonneuve E,H2L 1Y8,1157,45.516839,-73.560017
14,Koncept Formation,417 Saint-Pierre Rue,H2Y 2M4,1166,45.501625,-73.556677
15,Concorida University School,2145 MacKay Rue,H3G 2J2,1499,45.497405,-73.579882
16,EC Montreal,1610 St Catherine St W,H3H 2S2,1742,45.494198,-73.578375
17,Académie de Danse Titosalsabor,4416 St Laurent,H2W 1Z5,1812,45.519393,-73.585289
