,name,address,zip_code,distance,lat,lon
0,Fast French Seminars,211 Bronson Ave,K1R 6H5,591,45.413465,-75.707247
1,Centennial Public School,376 Gloucester St,K1R 5E8,611,45.414928,-75.704749
2,St Anthony School,391 Booth St,K1R 7K5,673,45.406375,-75.708231
3,Adult High School,300 Rochester St,K1R 7N4,923,45.404375,-75.709912
4,Heart to Heart First Aid CPR Ottawa,Hill 402 Queen St,K1R 5A7,971,45.41775,-75.706766
5,ExitCertified Corp,220 Laurier Ave W,K1P 5Z9,1117,45.419587,-75.69611
6,Corpus Christi School,157 4th Ave,K1S 2L5,1231,45.401415,-75.691032
7,Centre de Formation Professionnelle & Linguistique Caron Ltée,130 Slater St,K1P 6E2,1250,45.420655,-75.696437
8,First Avenue School,73 1st Ave,K1S 2G1,1311,45.40652,-75.685529
9,Devonshire School,100 Breezehill Ave N,K1Y 2H5,1441,45.405732,-75.718834
