,name,address,zip_code,distance,lat,lon
0,Starbucks,585 University Ave,M5G 2N2,466,43.658198,-79.389171
1,Starbucks,338 Adelaide St W,M5V 1R4,798,43.647619,-79.392628
2,Starbucks,439 University Ave,M5G 1Y8,415,43.65444,-79.38759
3,Starbucks,203 College St,M5T 0C8,487,43.658532,-79.395396
4,Starbucks,555 University Ave,M5G 1X8,542,43.657705,-79.387456
5,Starbucks,111 Elizabeth St,M5G 1P7,597,43.65515,-79.384758
6,Starbucks,250 Queen St W,M5V 1Z7,536,43.650097,-79.390966
7,Starbucks,661 University Ave,M5G 1M1,554,43.659555,-79.389808
8,Starbucks,444 Yonge St,M5B 2H4,966,43.66075,-79.383405
9,Starbucks,1 King's College Cir,M5S 1A8,688,43.660854,-79.393569
