,name,address,zip_code,distance,lat,lon
0,Moo Shu Ice Cream & Kitchen,477 Bank St,K2P 1Z2,670,45.410961,-75.692711
1,Burrito Gringo,566 Bronson Ave,K1R 6K3,488,45.405459,-75.70254
2,Bread & Sons Bakery,195 Bank St,K2P 1W7,885,45.417745,-75.698143
3,ThimbleCakes,369 Bank St,K2P 1Y2,650,45.413947,-75.694886
4,Jax,479 Bronson Ave,K1R 6J7,330,45.407536,-75.703239
5,Burgers n' Fries Forever,329 Bank St,K2P 1X9,655,45.414441,-75.695361
6,Herb & Spice Shop,375 Bank St,K2P 1Y2,649,45.413893,-75.694833
7,Atomic Rooster,303 Bank St,K2P 1X7,688,45.414938,-75.69574
8,Bridgehead,366 Bank St,K2P 1Y4,643,45.413874,-75.695316
9,Copper Branch,350 Albert St,K1R 1A4,937,45.418211,-75.703703
