,name,address,zip_code,distance,lat,lon
0,Karine's,109 McCaul St,M5T 3K5,175,43.653858,-79.390957
1,Art Gallery of Ontario,317 Dundas St W,M5T 1G4,97,43.653538,-79.392624
2,Fresh on Spadina,147 Spadina Ave,M5V 2L7,802,43.648063,-79.395784
3,Moonbean Coffee Co,30 Saint Andrew St,M5T 1K6,633,43.654265,-79.400045
4,Essence of Life Organics,50 Kensington Ave,M5T 2K1,654,43.654055,-79.40062
5,Pai,18 Duncan St,M5H 3G8,818,43.647796,-79.388636
6,Rosalinda,133 Richmond St W,M5H 2L3,765,43.650207,-79.384813
7,Seven Lives,69 Kensington Ave,M5T 2K2,672,43.654297,-79.400378
8,Saigon Lotus,6 St Andrew St,M5T 1K6,555,43.65445,-79.399046
9,Kupfert & Kim,140 Spadina Ave,M5V 2L4,817,43.647697,-79.396193
10,Cafe Landwer,165 University Ave,M5H 3B8,872,43.648724,-79.385137
11,Dark Horse Espresso Bar,215 Spadina Ave,M5T 2C7,599,43.650738,-79.396818
12,Green Box,200 University Ave,M5H 3C6,567,43.649805,-79.386478
13,Daily Press Juicery,200 Queen St W,M5V 1Z2,564,43.650466,-79.388968
14,Ozzy's Burgers,66 Nassau St,M5T 1M5,826,43.65537,-79.402606
15,Bunners,244 Augusta Ave,M5T 2L7,819,43.655533,-79.402679
16,Big Fat Burrito,285 Augusta Ave,M5T 2M1,818,43.656004,-79.40238
17,Planta Queen,180 Queen St W,M5V 3X3,571,43.650697,-79.388116
18,Khao San Road,11 Charlotte St,M5V 0M6,948,43.64618,-79.393894
19,Elmwood Spa,18 Elm St,M5G 1G7,852,43.657832,-79.382614
20,Buddha's Vegetarian Foods,666 Dundas St W,M5T 1H9,937,43.651946,-79.403369
21,Chipotle Mexican Grill,323 Yonge St,M5B 1R7,948,43.656829,-79.380958
22,Asian Legend 味香村,418 Dundas St W,M5T 1G7,252,43.653713,-79.395282
23,King's Cafe,192 Augusta Ave,M5T 2L6,769,43.654065,-79.402024
24,Our Spot,180 Baldwin St,M5T 1L8,684,43.654884,-79.400799
25,Crepe Delicious,220 Yonge St,M5B 2H1,921,43.653696,-79.380039
26,Flock Rotisserie + Greens,661 University Ave,M5G 1M1,540,43.659347,-79.389588
27,Parka Food Co,424 Queen St W,M5V 2A7,838,43.648575,-79.398016
28,Cacao 70,485 Queen St W,M5V 2A9,849,43.648248,-79.39787
29,Greens Vegetarian Restaurant,638 Dundas St W,M5T 1H8,862,43.652118,-79.402555
30,Little India Restaurant,255 Queen St W,M5V 1Z4,563,43.650192,-79.388877
31,Kiin,326 Adelaide St W,M5V 1R3,817,43.647607,-79.392018
32,Aroma Espresso Bar,562 Bay St,M5G 0B3,705,43.655224,-79.383741
33,Smoke's Poutinerie Inc,218 Adelaide St W,M5H 1W7,809,43.648543,-79.387633
34,Village by the Grange,78 Saint Patrick St,M5T 3K8,176,43.652437,-79.389656
35,Mamma's Pizza,405 Richmond St W,M5V 1X3,803,43.647757,-79.395361
36,Freshii,140 Spadina Ave,M5V 2L4,818,43.647697,-79.396193
37,Basil Box Ryerson,351 Yonge St,M5B 1S1,923,43.657815,-79.381302
38,Veda Restaurant,10 King's College Rd,M5S 3G4,601,43.660029,-79.394887
39,Bo de Duyen 菩提緣素食樓,186 Spadina Ave,M5T 3B2,658,43.649713,-79.397029
